# Comments start with a hashtag because of how CSV is read,,,,
Organization,Acronym,Website,Keywords,Type
Queers in Science,,https://www.queersinscience.org.au/,"science, LGBTQ",LGBTQ+ Abroad
Queers in STEM,,https://twitter.com/QueersInSTEM,LGBTQ,LGBTQ+ Abroad
The STEM Village,,https://thestemvillage.co.uk/,LGBTQ,LGBTQ+ Abroad
# Relevant Conferences and Summits,,,,
Annual Biomedical Research Conference for Minority Students,ABRCMS,https://www.abrcms.org/,"biology, medicine, engineering, students",Conferences
LGBTQ+STEM,,https://lgbtqplusstem.ca/,LGBTQ,Conferences
Lesbians Who Tech,,https://lesbianswhotech.org/about/,"technology, women, LGBTQ",Conferences
LOGIC Retreat,,https://cwicnetwork.com/logic-retreat/,"chemistry, women",Conferences
Out For Undergrad,,https://www.outforundergrad.org/,"LGBTQ, students",Conferences
STEMNoire,,https://www.stemnoire.org/,Black,Conferences
TransTech,,https://www.transtechsocial.org/,"technology, LGBTQ",Conferences
Women in Medicine Summit,,https://www.womeninmedicinesummit.org/,"medicine, women",Conferences
# Summer and Internship Programs,,,,
"##Abolitionist Youth Organizing Institute (AYO, NYC!)",,,,
Banneker Institute,,https://bannekerinstitute.fas.harvard.edu/,astronomy,Internships
NIH Summer Institute Program in Biomedical Research,SIP,https://www.training.nih.gov/programs/sip,,Internships
# Online Communities and Resource Groups,,,,
We Rep STEM,,https://werepstem.com/,,Online
Trans in STEM,,https://twitter.com/stemtrans,,Online
PhD Balance,,https://www.phdbalance.com/,,Online
National Mentoring Resource Center,,https://nationalmentoringresourcecenter.org/index.php,,Online
# Science Communication Organizations/Programs/Workshops,,,,
Inclusive SciComm Symposium,,https://inclusivescicomm.org/,,SciComm
Letters to a Pre-Scientist,,https://www.prescientist.org/,,SciComm
Project Biodiversify,,https://projectbiodiversify.org/,,SciComm
SciComm Conference,,http://www.scicommcon.org/,,SciComm
Skype a Scientist,,https://www.skypeascientist.com/,,SciComm
Reclaiming STEM,,https://twitter.com/Reclaiming_STEM,,SciComm
ComSciCon,,https://comscicon.com/,,SciComm
# Diversity Lists,,,,
500 Queer Scientists,,https://500queerscientists.com/,,DiversityList
500 Women Scientists,,https://500womenscientists.org/,,DiversityList
Astronomy and Astrophysics Outlist,,https://astro-outlist.github.io/,,DiversityList
Diverse Geologists,,https://www.diversegeologists.org/,,DiversityList
Diversify Chemistry,,https://diversifychemistry.com/,,DiversityList
